From	To
TMED3_MOUSE	Tmed3
RL18A_MOUSE	Rpl18a
CHD9_MOUSE	Chd9
RS26_MOUSE	Rps26
RBL2_MOUSE	Rbl2
AKTIP_MOUSE	Aktip
FTM_MOUSE	Rpgrip1l
FTO_MOUSE	Fto
IRX5_MOUSE	Irx5
IRX6_MOUSE	Irx6
MMP2_MOUSE	Mmp2
PCAT2_MOUSE	Lpcat2
CPNS2_MOUSE	Capns2
SC6A2_MOUSE	Slc6a2
LARG1_MOUSE	Large1
UN13B_MOUSE	Unc13b
RT02_MOUSE	Mrps2
SUMF2_MOUSE	Sumf2
PGK1_MOUSE	Pgk1
KPYM_MOUSE	Pkm
ISX_MOUSE	Isx
RHG10_MOUSE	Arhgap10
PMGT1_MOUSE	Pomgnt1
MCR_MOUSE	Nr3c2
SH2B1_MOUSE	Sh2b1
GRL1A_MOUSE	Polr2m
PGAM1_MOUSE	Pgam1
RHES_MOUSE	Rasd2
MCM5_MOUSE	Mcm5
HMOX1_MOUSE	Hmox1
TOM1_MOUSE	Tom1
HMGB2_MOUSE	Hmgb2
O1020_MOUSE	Olfr1020
OOG3_MOUSE	Oog3
T184C_MOUSE	Tmem184c
NPM_MOUSE	Npm1
EDNRA_MOUSE	Ednra
RFX1_MOUSE	Rfx1
TTC29_MOUSE	Ttc29
PO4F2_MOUSE	Pou4f2
RMXL1_MOUSE	Rbmxl1
NTCP7_MOUSE	Slc10a7
SPEE_MOUSE	Srm
LSM6_MOUSE	Lsm6
ZN827_MOUSE	Znf827
MMAA_MOUSE	Mmaa
SMAD1_MOUSE	Smad1
OTUD4_MOUSE	Otud4
ABCE1_MOUSE	Abce1
APC10_MOUSE	Anapc10
HHIP_MOUSE	Hhip
GLPA_MOUSE	Gypa
SMCA5_MOUSE	Smarca5
ANM9_MOUSE	Prmt9
NDUB7_MOUSE	Ndufb7
TECR_MOUSE	Tecr
DNJB1_MOUSE	Dnajb1
PE2R1_MOUSE	Ptger1
PKN1_MOUSE	Pkn1
DX39A_MOUSE	Ddx39a
CD97_MOUSE	Cd97
AGRL1_MOUSE	Adgrl1
ASF1B_MOUSE	Asf1b
KAPCA_MOUSE	Prkaca
SAMD1_MOUSE	Samd1
BASI_MOUSE	Bsg
PALM3_MOUSE	Palm3
I27RA_MOUSE	Il27ra
RL29_MOUSE	Rpl29
DCA15_MOUSE	Dcaf15
PONL1_MOUSE	Podnl1
C2D1A_MOUSE	Cc2d1a
NANO3_MOUSE	Nanos3
ZSWM4_MOUSE	Zswim4
L10K_MOUSE	D8Ertd738e
MTNA_MOUSE	Mri1
CC130_MOUSE	Ccdc130
GAB1_MOUSE	Gab1
UBP38_MOUSE	Usp38
DLG5_MOUSE	Dlg5
INP4B_MOUSE	Inpp4b
IL15_MOUSE	Il15
RAB2A_MOUSE	Rab2a
ZN330_MOUSE	Znf330
RN150_MOUSE	Rnf150
TBCD9_MOUSE	Tbc1d9
UCP1_MOUSE	Ucp1
ELMD2_MOUSE	Elmod2
CLGN_MOUSE	Clgn
CAC1A_MOUSE	Cacna1a
IER2_MOUSE	Ier2
NACC1_MOUSE	Nacc1
TRM1_MOUSE	Trmt1
NFIX_MOUSE	Nfix
G45IP_MOUSE	Gadd45gip1
RD23A_MOUSE	Rad23a
CALR_MOUSE	Calr
SYFA_MOUSE	Farsa
GCDH_MOUSE	Gcdh
DNS2A_MOUSE	Dnase2
MAST1_MOUSE	Mast1
RTBDN_MOUSE	Rtbdn
RNH2A_MOUSE	Rnaseh2a
PRDX2_MOUSE	Prdx2
JUNB_MOUSE	Junb
HOOK2_MOUSE	Hook2
BEST2_MOUSE	Best2
ASNA_MOUSE	Asna1
TRIR_MOUSE	Trir
TNPO2_MOUSE	Tnpo2
FBXW7_MOUSE	Fbxw7
GBG12_MOUSE	Gng12
DHYS_MOUSE	Dhps
WDR83_MOUSE	Wdr83
MA2B1_MOUSE	Man2b1
GNDS_MOUSE	Ralgds
DNJC7_MOUSE	Dnajc7
BTBDA_MOUSE	Btbd10
ZN809_MOUSE	Zfp809
OLF19_MOUSE	Olfr19
VPS35_MOUSE	Vps35
ORC6_MOUSE	Orc6
MYLK3_MOUSE	Mylk3
ALAT2_MOUSE	Gpt2
DNJA2_MOUSE	Dnaja2
NETO2_MOUSE	Neto2
TIP_MOUSE	Itfg1
KPBB_MOUSE	Phkb
NAA11_MOUSE	Naa11
MRP9_MOUSE	Abcc12
LONP2_MOUSE	Lonp2
SIA1A_MOUSE	Siah1a
LRC14_MOUSE	Lrrc14
CENPB_MOUSE	Cenpb
TCAL3_MOUSE	Tceal3
RNF12_MOUSE	Rlim
DDX3Y_MOUSE	Ddx3y
UTY_MOUSE	Uty
MO4L2_MOUSE	Morf4l2
GLE1_MOUSE	Gle1
USP9X_MOUSE	Usp9x
MF14B_MOUSE	Mfsd14b
PRS39_MOUSE	Prss39
SPT31_MOUSE	Spata31
CDK20_MOUSE	Cdk20
CATL1_MOUSE	Ctsl
SPT2_MOUSE	Spty2d1
CC14B_MOUSE	Cdc14b
HABP4_MOUSE	Habp4
ZN367_MOUSE	Znf367
DHB3_MOUSE	Hsd17b3
ER6L2_MOUSE	Ercc6l2
PTC1_MOUSE	Ptch1
FANCC_MOUSE	Fancc
AMPO_MOUSE	Aopep
F16P1_MOUSE	Fbp1
F16P2_MOUSE	Fbp2
CAT7_MOUSE	Cts7
CAT8_MOUSE	Cts8
CATR_MOUSE	Ctsr
CATJ_MOUSE	Ctsj
CTL2B_MOUSE	Ctla2b
DAPK1_MOUSE	Dapk1
GAS1_MOUSE	Gas1
TUT7_MOUSE	Tut7
ISCA1_MOUSE	Isca1
FA83H_MOUSE	Fam83h
GOLM1_MOUSE	Golm1
NAA35_MOUSE	Naa35
CBPC1_MOUSE	Agtpbp1
NTRK2_MOUSE	Ntrk2
S28A3_MOUSE	Slc28a3
HNRPK_MOUSE	Hnrnpk
KIF27_MOUSE	Kif27
GKAP1_MOUSE	Gkap1
UBQL1_MOUSE	Ubqln1
GNTK_MOUSE	Idnk
ROA0_MOUSE	Hnrnpa0
KLHL3_MOUSE	Klhl3
TICN1_MOUSE	Spock1
TRPC7_MOUSE	Trpc7
SMAD5_MOUSE	Smad5
BGH3_MOUSE	Tgfbi
LECT2_MOUSE	Lect2
FXL21_MOUSE	Fbxl21
S2548_MOUSE	Slc25a48
ACTBL_MOUSE	Actbl2
CXL14_MOUSE	Cxcl14
NGN1_MOUSE	Neurog1
TIFAB_MOUSE	Tifab
H2AY_MOUSE	H2afy
MTFR1_MOUSE	Mtfr1
PITX1_MOUSE	Pitx1
CTSR3_MOUSE	Catsper3
PHS2_MOUSE	Pcbd2
TXD15_MOUSE	Txndc15
DDX46_MOUSE	Ddx46
B4GT7_MOUSE	B4galt7
TMED9_MOUSE	Tmed9
F193B_MOUSE	Fam193b
DOK3_MOUSE	Dok3
PDLI7_MOUSE	Pdlim7
DREB_MOUSE	Dbn1
PRR7_MOUSE	Prr7
GRK6_MOUSE	Grk6
FA12_MOUSE	F12
PROF3_MOUSE	Pfn3
NPT2A_MOUSE	Slc34a1
RGS14_MOUSE	Rgs14
LMAN2_MOUSE	Lman2
MAD3_MOUSE	Mxd3
PRLD1_MOUSE	Prelid1
RAB24_MOUSE	Rab24
NSD1_MOUSE	Nsd1
ZN346_MOUSE	Znf346
HXK3_MOUSE	Hk3
UNC5A_MOUSE	Unc5a
TSN17_MOUSE	Tspan17
I4E1B_MOUSE	Eif4e1b
SYUB_MOUSE	Sncb
CDHR2_MOUSE	Cdhr2
ACO13_MOUSE	Acot13
TYDP2_MOUSE	Tdp2
K0319_MOUSE	Kiaa0319
SSDH_MOUSE	Aldh5a1
PHLD_MOUSE	Gpld1
MRS2_MOUSE	Mrs2
DCDC2_MOUSE	Dcdc2
NRSN1_MOUSE	Nrsn1
ADT2_MOUSE	Slc25a5
LDHA_MOUSE	Ldha
RL35_MOUSE	Rpl35
ELK3_MOUSE	Elk3
SPB1_MOUSE	Ftsj3
HDGF_MOUSE	Hdgf
PRL_MOUSE	Prl
PR3D1_MOUSE	Prl3d1
PR3B1_MOUSE	Prl3b1
PR6A1_MOUSE	Prl6a1
PR2B1_MOUSE	Prl2b1
PR7C1_MOUSE	Prl7c1
PR2A1_MOUSE	Prl2a1
PR2C3_MOUSE	Prl2c3
PR4A1_MOUSE	Prl4a1
